"m","L","N301-Power","N301-MDD","N302-Power","N302-MDD","N303-Power","N303-MDD","N304-Power","N304-MDD","N305-Power","N305-MDD","N306-Power","N306-MDD"
100,1,65.1,148.26,73.1,143.9,28.8,153.32,5,164.6,28.7,153.48,7.5,159.12
100,2,62,204.45,80.4,190.53,21.7,208.53,6.1,227.82,25,208.88,9.2,220.29
100,3,64.4,262.28,81.4,236.17,18.9,269.86,7.4,281.89,21.4,274.02,11.9,277.64
200,1,79.7,296.05,88.9,282.61,31.1,306.55,3.4,323.03,33.8,302.68,4.2,335.9
200,2,85.9,406.37,92.9,369.7,20.7,425.89,5,452.84,23.8,422.47,5.6,436.21
200,3,90.3,509.01,95.3,454.61,21.4,533.36,5.7,568.49,20.6,531.11,8.8,566.02
