"Model","Delta","Method","Power","MDD"
201,0,"statL_quadexp",4,55.75
201,0.05,"statL_quadexp",4.35,53.5402298850575
201,0.1,"statL_quadexp",5.3,56.3207547169811
201,0.15,"statL_quadexp",5.6,53.9464285714286
201,0.2,"statL_quadexp",6.2,57.3467741935484
201,0.25,"statL_quadexp",8,56.40625
201,0.3,"statL_quadexp",9.05,57.5966850828729
201,0.35,"statL_quadexp",11.45,58.6157205240175
201,0.4,"statL_quadexp",14.65,57.2389078498294
201,0.45,"statL_quadexp",20.85,59.9088729016787
201,0.5,"statL_quadexp",26.6,60.8796992481203
201,0.55,"statL_quadexp",32.1,58.2554517133956
201,0.6,"statL_quadexp",41,58.7463414634146
201,0.65,"statL_quadexp",53.1,58.1290018832392
201,0.7,"statL_quadexp",66.15,56.9705215419501
201,0.75,"statL_quadexp",74,54.7277027027027
201,0.8,"statL_quadexp",84.25,53.7780415430267
201,0.85,"statL_quadexp",92.55,50.2274446245273
201,0.9,"statL_quadexp",97.4,47.5574948665298
202,0,"statL_quadexp",5.5,51.7545454545455
202,0.05,"statL_quadexp",4.75,52.2842105263158
202,0.1,"statL_quadexp",5.3,56.7264150943396
202,0.15,"statL_quadexp",6.5,57.5692307692308
202,0.2,"statL_quadexp",6.1,54.344262295082
202,0.25,"statL_quadexp",7.7,58.2532467532468
202,0.3,"statL_quadexp",10.2,57.0147058823529
202,0.35,"statL_quadexp",12,57.6125
202,0.4,"statL_quadexp",14.2,57.0739436619718
202,0.45,"statL_quadexp",20,60.21
202,0.5,"statL_quadexp",21.95,58.9476082004556
202,0.55,"statL_quadexp",29.3,59.382252559727
202,0.6,"statL_quadexp",38.6,58.5582901554404
202,0.65,"statL_quadexp",46.1,57.6203904555315
202,0.7,"statL_quadexp",58.85,57.0127442650807
202,0.75,"statL_quadexp",69.85,55.8768790264853
202,0.8,"statL_quadexp",81.8,54.8728606356968
202,0.85,"statL_quadexp",89.2,52.5588565022422
202,0.9,"statL_quadexp",95.2,49.5877100840336
203,0,"statL_quadexp",5.6,52.2142857142857
203,0.05,"statL_quadexp",4.25,50.1294117647059
203,0.1,"statL_quadexp",4.45,53.3820224719101
203,0.15,"statL_quadexp",5.2,52.0384615384615
203,0.2,"statL_quadexp",5.3,53.5849056603774
203,0.25,"statL_quadexp",6.2,51.4193548387097
203,0.3,"statL_quadexp",7.2,53.2291666666667
203,0.35,"statL_quadexp",6.65,53.1203007518797
203,0.4,"statL_quadexp",7.45,53.5704697986577
203,0.45,"statL_quadexp",8.5,54.7235294117647
203,0.5,"statL_quadexp",8.55,56.5380116959064
203,0.55,"statL_quadexp",9.85,54.8680203045685
203,0.6,"statL_quadexp",10.35,52.9275362318841
203,0.65,"statL_quadexp",12.5,55.636
203,0.7,"statL_quadexp",15.6,58.8910256410256
203,0.75,"statL_quadexp",17.75,57.9661971830986
203,0.8,"statL_quadexp",24.5,58.4204081632653
203,0.85,"statL_quadexp",29.7,60.0791245791246
203,0.9,"statL_quadexp",36.85,60.9335142469471
