"Model","Delta","Method","Power","MDD"
211,0,"statL_gauss",4.55,51.3626373626374
211,0.1,"statL_gauss",5.35,52.4485981308411
211,0.2,"statL_gauss",7.4,52.5675675675676
211,0.3,"statL_gauss",8.6,53.3662790697674
211,0.4,"statL_gauss",14,56.2928571428571
211,0.5,"statL_gauss",21,56.0095238095238
211,0.6,"statL_gauss",26.05,57.7735124760077
211,0.7,"statL_gauss",35.65,55.1500701262272
211,0.8,"statL_gauss",47.25,55.3714285714286
211,0.9,"statL_gauss",56.55,54.7091069849691
211,1,"statL_gauss",66.4,53.433734939759
211,1.1,"statL_gauss",76.9,51.9726918075423
211,1.2,"statL_gauss",83.1,50.5451263537906
211,1.3,"statL_gauss",88.5,48.0604519774011
211,1.4,"statL_gauss",92.55,46.3398163155051
211,1.5,"statL_gauss",95.35,44.5637126376508
211,1.6,"statL_gauss",96.95,42.9963898916968
211,1.7,"statL_gauss",98.15,40.5170657157412
211,1.8,"statL_gauss",99.05,39.3402322059566
211,1.9,"statL_gauss",99.4,37.5211267605634
211,2,"statL_gauss",99.25,36.239798488665
211,2.1,"statL_gauss",99.75,34.6360902255639
211,2.2,"statL_gauss",99.9,33.9744744744745
211,2.3,"statL_gauss",99.95,32.0735367683842
211,2.4,"statL_gauss",100,31.322
211,2.5,"statL_gauss",100,30.514
211,2.6,"statL_gauss",100,29.525
211,2.7,"statL_gauss",100,29.0365
211,2.8,"statL_gauss",100,27.952
211,2.9,"statL_gauss",100,27.651
211,3,"statL_gauss",100,26.8775
211,3.1,"statL_gauss",100,26.5105
211,3.2,"statL_gauss",100,25.8115
211,3.3,"statL_gauss",100,25.1725
211,3.4,"statL_gauss",100,24.576
211,3.5,"statL_gauss",100,24.241
211,3.6,"statL_gauss",100,23.856
211,3.7,"statL_gauss",100,23.331
211,3.8,"statL_gauss",100,23.0315
211,3.9,"statL_gauss",100,22.9855
211,4,"statL_gauss",100,22.3075
212,0,"statL_gauss",4.95,52.4343434343434
212,0.1,"statL_gauss",6.15,57.0813008130081
212,0.2,"statL_gauss",7.1,52.2394366197183
212,0.3,"statL_gauss",8.85,54.7457627118644
212,0.4,"statL_gauss",13.4,54.4962686567164
212,0.5,"statL_gauss",16.35,55.8501529051988
212,0.6,"statL_gauss",21.65,57.0854503464203
212,0.7,"statL_gauss",28.15,56.7637655417407
212,0.8,"statL_gauss",39.5,55.9379746835443
212,0.9,"statL_gauss",47.55,55.9284210526316
212,1,"statL_gauss",58.15,55.3404987102322
212,1.1,"statL_gauss",68.6,54.4497084548105
212,1.2,"statL_gauss",74.4,53.2412634408602
212,1.3,"statL_gauss",82.45,50.9144936325045
212,1.4,"statL_gauss",87.45,49.7552887364208
212,1.5,"statL_gauss",92.8,47.9461206896552
212,1.6,"statL_gauss",94.2,46.22983014862
212,1.7,"statL_gauss",96.25,44.6431168831169
212,1.8,"statL_gauss",96.9,42.0340557275542
212,1.9,"statL_gauss",98.45,40.7765363128492
212,2,"statL_gauss",99.2,39.5574596774194
212,2.1,"statL_gauss",99.45,37.6400201106083
212,2.2,"statL_gauss",99.65,36.5785248369293
212,2.3,"statL_gauss",99.9,35.494994994995
212,2.4,"statL_gauss",99.75,34.4852130325815
212,2.5,"statL_gauss",99.95,33.5342671335668
212,2.6,"statL_gauss",99.95,32.3171585792896
212,2.7,"statL_gauss",100,31.5625
212,2.8,"statL_gauss",100,31.0105
212,2.9,"statL_gauss",100,30.024
212,3,"statL_gauss",100,29.267
212,3.1,"statL_gauss",100,28.607
212,3.2,"statL_gauss",100,28.3615
212,3.3,"statL_gauss",100,27.6785
212,3.4,"statL_gauss",100,26.7825
212,3.5,"statL_gauss",100,26.448
212,3.6,"statL_gauss",100,26.1805
212,3.7,"statL_gauss",100,25.5405
212,3.8,"statL_gauss",100,25.2845
212,3.9,"statL_gauss",100,24.9855
212,4,"statL_gauss",100,24.4925
213,0,"statL_gauss",3.6,52.6111111111111
213,0.1,"statL_gauss",4.4,50.375
213,0.2,"statL_gauss",5.1,54.078431372549
213,0.3,"statL_gauss",4.8,49.0625
213,0.4,"statL_gauss",5.75,53.1304347826087
213,0.5,"statL_gauss",6.3,50.8571428571429
213,0.6,"statL_gauss",8.45,54.2485207100592
213,0.7,"statL_gauss",8.65,54.3699421965318
213,0.8,"statL_gauss",10.2,56.4950980392157
213,0.9,"statL_gauss",12.55,55.4541832669323
213,1,"statL_gauss",15.5,57.741935483871
213,1.1,"statL_gauss",19.4,58.5850515463918
213,1.2,"statL_gauss",22.75,57.8373626373626
213,1.3,"statL_gauss",24.9,57.9578313253012
213,1.4,"statL_gauss",30.2,58.773178807947
213,1.5,"statL_gauss",34.65,59.5137085137085
213,1.6,"statL_gauss",39.65,58.7831021437579
213,1.7,"statL_gauss",44.05,59.1748013620885
213,1.8,"statL_gauss",53.6,59.4850746268657
213,1.9,"statL_gauss",55.75,58.5560538116592
213,2,"statL_gauss",61.45,58.5760781122864
213,2.1,"statL_gauss",66.35,57.3993971363979
213,2.2,"statL_gauss",71.6,56.9958100558659
213,2.3,"statL_gauss",76.3,56.045871559633
213,2.4,"statL_gauss",80.5,56.1521739130435
213,2.5,"statL_gauss",82,54.9268292682927
213,2.6,"statL_gauss",85.8,54.2768065268065
213,2.7,"statL_gauss",89.3,53.2911534154535
213,2.8,"statL_gauss",90.4,51.7555309734513
213,2.9,"statL_gauss",92.35,51.7168381158636
213,3,"statL_gauss",93.25,51.2434316353887
213,3.1,"statL_gauss",95.05,49.991057338243
213,3.2,"statL_gauss",95.45,49.3834468308015
213,3.3,"statL_gauss",96.45,48.5969917012448
213,3.4,"statL_gauss",97,47.4865979381443
213,3.5,"statL_gauss",97.65,46.8709677419355
213,3.6,"statL_gauss",98.45,46.6262061960386
213,3.7,"statL_gauss",98.1,45.5107033639144
213,3.8,"statL_gauss",99.2,45.0559475806452
213,3.9,"statL_gauss",98.9,44.37108190091
213,4,"statL_gauss",99.5,44.143216080402
214,0,"statL_gauss",3.8,47.958904109589
214,0.1,"statL_gauss",5.45,45.302752293578
214,0.2,"statL_gauss",6.9,44.8897058823529
214,0.3,"statL_gauss",8.8,45.25
214,0.4,"statL_gauss",11.95,45.6313559322034
214,0.5,"statL_gauss",16.15,45.4409937888199
214,0.6,"statL_gauss",21.75,46.13133640553
214,0.7,"statL_gauss",27.65,46.8442028985507
214,0.8,"statL_gauss",31.8,46.4834645669291
214,0.9,"statL_gauss",40.15,44.63
214,1,"statL_gauss",46.65,44.7749196141479
214,1.1,"statL_gauss",56,44.8703041144902
214,1.2,"statL_gauss",64.9,45.0084745762712
214,1.3,"statL_gauss",72.3,43.6719723183391
214,1.4,"statL_gauss",78.75,41.6692111959288
214,1.5,"statL_gauss",82,40.7585365853659
214,1.6,"statL_gauss",87.25,38.5034403669725
214,1.7,"statL_gauss",90.15,37.8146503884573
214,1.8,"statL_gauss",92.05,36.5187601957586
214,1.9,"statL_gauss",95.85,34.5378590078329
214,2,"statL_gauss",96.85,33.9111111111111
214,2.1,"statL_gauss",97.65,32.5304971809329
214,2.2,"statL_gauss",98.5,30.9664463650229
214,2.3,"statL_gauss",98.95,29.9231935320869
214,2.4,"statL_gauss",99.6,28.318935208438
214,2.5,"statL_gauss",99.5,27.4587109768379
214,2.6,"statL_gauss",99.5,25.9376571141277
214,2.7,"statL_gauss",100,25.2874311467201
214,2.8,"statL_gauss",99.7,23.8786359077232
214,2.9,"statL_gauss",100,23.7048524262131
214,3,"statL_gauss",99.95,22.7051153460381
214,3.1,"statL_gauss",100,22.2157157157157
214,3.2,"statL_gauss",100,20.807
214,3.3,"statL_gauss",99.95,20.8673009514271
214,3.4,"statL_gauss",100,19.9394091136705
214,3.5,"statL_gauss",100,19.4615
214,3.6,"statL_gauss",100,19.0550550550551
214,3.7,"statL_gauss",100,18.3925
214,3.8,"statL_gauss",100,17.9645
214,3.9,"statL_gauss",100,17.2005
214,4,"statL_gauss",100,16.9809904952476
