Model,Delta,Method,Power,MDD
211,0,Qmk,6.8,65.6764705882353
211,0,Tmq,6.4,72.1875
211,0.1,Qmk,7.7,63.1558441558442
211,0.1,Tmq,6.7,72.3880597014925
211,0.2,Qmk,7.4,62.4459459459459
211,0.2,Tmq,7.5,72.56
211,0.3,Qmk,7.2,63.5555555555556
211,0.3,Tmq,6.9,71.6376811594203
211,0.4,Qmk,8,62.65
211,0.4,Tmq,10.4,70.9423076923077
211,0.5,Qmk,8.9,63.2696629213483
211,0.5,Tmq,10,71.37
211,0.6,Qmk,10.8,64.6481481481482
211,0.6,Tmq,13,72.1384615384615
211,0.7,Qmk,14.8,65.1554054054054
211,0.7,Tmq,15.9,71.6415094339623
211,0.8,Qmk,16,66.19375
211,0.8,Tmq,19.9,72.0100502512563
211,0.9,Qmk,16.9,64.9112426035503
211,0.9,Tmq,20.6,71.3495145631068
211,1,Qmk,18.4,64.1521739130435
211,1,Tmq,21.3,71.6009389671361
211,1.1,Qmk,21.2,65.25
211,1.1,Tmq,25.6,71.23828125
211,1.2,Qmk,25,65.288
211,1.2,Tmq,31,71.1322580645161
211,1.3,Qmk,29.3,64.4880546075085
211,1.3,Tmq,36.7,70.8446866485014
211,1.4,Qmk,28.5,65.4947368421053
211,1.4,Tmq,37.5,70.9013333333333
211,1.5,Qmk,34.3,65.6559766763848
211,1.5,Tmq,43,70.9674418604651
211,1.6,Qmk,36.8,65.4646739130435
211,1.6,Tmq,45.6,70.6359649122807
211,1.7,Qmk,38.7,65.0671834625323
211,1.7,Tmq,49.5,70.189898989899
211,1.8,Qmk,43,64.8883720930232
211,1.8,Tmq,51.7,69.6189555125725
211,1.9,Qmk,47.8,64.9037656903766
211,1.9,Tmq,56.7,69.3703703703704
211,2,Qmk,51.3,64.401559454191
211,2,Tmq,58.8,69.6105442176871
211,2.1,Qmk,52.1,63.8195777351248
211,2.1,Tmq,64.7,69.2488408037094
211,2.2,Qmk,56,64.2196428571429
211,2.2,Tmq,66.1,69.1195158850227
211,2.3,Qmk,56.7,64.968253968254
211,2.3,Tmq,67,69.1731343283582
211,2.4,Qmk,65,63.9384615384615
211,2.4,Tmq,71.6,67.6745810055866
211,2.5,Qmk,64.5,63.8124031007752
211,2.5,Tmq,72.7,67.7083906464924
211,2.6,Qmk,66.7,63.5787106446777
211,2.6,Tmq,75.4,67.6419098143236
211,2.7,Qmk,68.6,63.6749271137026
211,2.7,Tmq,76.6,67.8263707571802
211,2.8,Qmk,71.6,62.8980446927374
211,2.8,Tmq,80.9,66.938195302843
211,2.9,Qmk,72.8,62.6497252747253
211,2.9,Tmq,83.4,67.0491606714628
211,3,Qmk,74.9,62.2429906542056
211,3,Tmq,83.1,66.4753309265945
211,3.1,Qmk,77.2,62.3147668393782
211,3.1,Tmq,82.9,66.4258142340169
211,3.2,Qmk,80.4,62.2400497512438
211,3.2,Tmq,86.4,66.1793981481482
211,3.3,Qmk,83.4,62.1498800959233
211,3.3,Tmq,89.1,66.0718294051627
211,3.4,Qmk,83.6,61.6411483253588
211,3.4,Tmq,88.4,65.4886877828054
211,3.5,Qmk,85,61.9282352941176
211,3.5,Tmq,89.3,65.5890257558791
