Model,Delta,Method,Power,MDD
211,3.6,Qmk,87,60.1655172413793
211,3.6,Tmq,90.9,64.2695269526953
211,3.7,Qmk,85.5,60.6245614035088
211,3.7,Tmq,91.2,64.4583333333333
211,3.8,Qmk,88.8,60.6486486486486
211,3.8,Tmq,92.8,64.4719827586207
211,3.9,Qmk,89.9,59.4749721913237
211,3.9,Tmq,94.1,63.5717321997875
211,4,Qmk,89.7,59.5562987736901
211,4,Tmq,93.3,64.0192926045016
212,0,Qmk,7.2,61.6805555555556
212,0,Tmq,6.9,71.3768115942029
212,0.1,Qmk,8.1,61.9506172839506
212,0.1,Tmq,7.9,70.5949367088608
212,0.2,Qmk,6.5,62.6
212,0.2,Tmq,6.4,70.390625
212,0.3,Qmk,9.7,61.9072164948454
212,0.3,Tmq,9.7,70.0412371134021
212,0.4,Qmk,10.1,65.049504950495
212,0.4,Tmq,11,71.5363636363636
212,0.5,Qmk,10.8,63.4537037037037
212,0.5,Tmq,10.8,71.4351851851852
212,0.6,Qmk,12.4,64.3306451612903
212,0.6,Tmq,13.9,71.0935251798561
212,0.7,Qmk,13.5,60.762962962963
212,0.7,Tmq,14.8,69.8918918918919
212,0.8,Qmk,16.5,63.9393939393939
212,0.8,Tmq,17.7,70.4519774011299
212,0.9,Qmk,14.4,63.9097222222222
212,0.9,Tmq,18.8,70.7712765957447
212,1,Qmk,19.4,63.7525773195876
212,1,Tmq,23.9,71
212,1.1,Qmk,19.6,63.9336734693878
212,1.1,Tmq,25.2,69.9246031746032
212,1.2,Qmk,21.1,64.5781990521327
212,1.2,Tmq,24.7,69.9595141700405
212,1.3,Qmk,22.2,64.6711711711712
212,1.3,Tmq,27.5,70.6036363636364
212,1.4,Qmk,25.7,64.8093385214008
212,1.4,Tmq,34.9,70.9111747851003
212,1.5,Qmk,28.3,66.0777385159011
212,1.5,Tmq,34.5,69.9594202898551
212,1.6,Qmk,30.3,63.5841584158416
212,1.6,Tmq,41.6,69.6442307692308
212,1.7,Qmk,36.4,64.6208791208791
212,1.7,Tmq,43.5,70.5287356321839
212,1.8,Qmk,37.2,64.4220430107527
212,1.8,Tmq,45.6,69.6929824561404
212,1.9,Qmk,39.1,64.7084398976982
212,1.9,Tmq,47.7,70.1698113207547
212,2,Qmk,43.4,62.9055299539171
212,2,Tmq,54.8,69.235401459854
212,2.1,Qmk,43,63.8906976744186
212,2.1,Tmq,55.8,69.1594982078853
212,2.2,Qmk,47.8,63.4623430962343
212,2.2,Tmq,55.9,68.9606440071556
212,2.3,Qmk,47.1,65.0339702760085
212,2.3,Tmq,59.1,69.3045685279188
212,2.4,Qmk,51.6,64.0135658914729
212,2.4,Tmq,62.7,68.7288676236045
212,2.5,Qmk,51.6,64.1046511627907
212,2.5,Tmq,61.6,69.3214285714286
212,2.6,Qmk,54,64.5685185185185
212,2.6,Tmq,63.7,68.9434850863422
212,2.7,Qmk,57.7,64.5008665511265
212,2.7,Tmq,69.8,68.5114613180516
212,2.8,Qmk,60.6,63.1848184818482
212,2.8,Tmq,71.4,67.6498599439776
212,2.9,Qmk,65.9,64.3141122913505
212,2.9,Tmq,75.6,67.8095238095238
212,3,Qmk,63,63.184126984127
212,3,Tmq,74.4,67.5161290322581
212,3.1,Qmk,67.2,62.8273809523809
212,3.1,Tmq,74.9,66.9038718291055
212,3.2,Qmk,69,63.3217391304348
212,3.2,Tmq,77.5,66.8451612903226
212,3.3,Qmk,69.4,63.7161383285303
212,3.3,Tmq,78.4,67.0216836734694
212,3.4,Qmk,74.1,62.3603238866397
212,3.4,Tmq,83.1,66.4548736462094
212,3.5,Qmk,75.4,62.6883289124668
212,3.5,Tmq,83.8,66.6288782816229
212,3.6,Qmk,76.1,62.7056504599212
212,3.6,Tmq,84.7,66.2089728453365
212,3.7,Qmk,77,62.074025974026
212,3.7,Tmq,86.4,66.0023148148148
212,3.8,Qmk,78.6,61.8066157760814
212,3.8,Tmq,85.3,65.3341148886284
212,3.9,Qmk,79.6,62.3442211055276
212,3.9,Tmq,88.1,65.4245175936436
212,4,Qmk,82.2,61.6143552311436
212,4,Tmq,89.4,65.510067114094
213,0,Qmk,11.6,59.4137931034483
213,0,Tmq,10.5,68.7238095238095
213,0.1,Qmk,11.2,60.8571428571429
213,0.1,Tmq,12.6,68.6111111111111
213,0.2,Qmk,12.6,58.6269841269841
213,0.2,Tmq,13.3,68.1804511278196
213,0.3,Qmk,12.9,58.6511627906977
213,0.3,Tmq,15.3,65.843137254902
213,0.4,Qmk,13.2,57.530303030303
213,0.4,Tmq,14.3,66.5034965034965
213,0.5,Qmk,13.8,56.8550724637681
213,0.5,Tmq,16.4,68.4024390243902
213,0.6,Qmk,14.1,58.5531914893617
213,0.6,Tmq,16.5,67.5818181818182
213,0.7,Qmk,15.4,61.8181818181818
213,0.7,Tmq,18.3,67.1530054644809
213,0.8,Qmk,14.5,59.3103448275862
213,0.8,Tmq,20.2,67.1980198019802
213,0.9,Qmk,14.6,60.3424657534247
213,0.9,Tmq,20,69.08
213,1,Qmk,17.7,58.8361581920904
213,1,Tmq,20.1,67.4626865671642
213,1.1,Qmk,18.1,59.1933701657459
213,1.1,Tmq,21.6,67.7592592592593
213,1.2,Qmk,19.6,58.9642857142857
213,1.2,Tmq,25.1,68.3266932270916
213,1.3,Qmk,18.3,61.1147540983607
213,1.3,Tmq,25.8,67.5852713178295
213,1.4,Qmk,19.2,61.1822916666667
213,1.4,Tmq,25.9,68.8262548262548
213,1.5,Qmk,21.4,58.5420560747664
213,1.5,Tmq,27.9,68.2437275985663
213,1.6,Qmk,20.6,63.0679611650485
213,1.6,Tmq,28,68.0678571428571
213,1.7,Qmk,21.5,60.506976744186
213,1.7,Tmq,29,68
213,1.8,Qmk,24,61.3375
213,1.8,Tmq,33.6,68.0654761904762
213,1.9,Qmk,27,60.9666666666667
213,1.9,Tmq,35.6,67.6601123595506
213,2,Qmk,28.8,60.1875
213,2,Tmq,35.5,68.2281690140845
213,2.1,Qmk,28.8,59.7361111111111
213,2.1,Tmq,39.2,67.1505102040816
213,2.2,Qmk,28.6,61.1503496503497
213,2.2,Tmq,39.3,67.5089058524173
213,2.3,Qmk,30.6,61.4183006535948
213,2.3,Tmq,42.8,67.6471962616822
213,2.4,Qmk,31.3,59.6837060702875
213,2.4,Tmq,40.5,67.3654320987654
213,2.5,Qmk,31.1,63.096463022508
213,2.5,Tmq,42.5,67.8870588235294
213,2.6,Qmk,32.6,60.1901840490798
213,2.6,Tmq,46.1,68.0412147505423
213,2.7,Qmk,32.1,62.3582554517134
213,2.7,Tmq,45.1,68.8248337028825
213,2.8,Qmk,33.2,62.6686746987952
213,2.8,Tmq,48.4,68.6756198347107
213,2.9,Qmk,36.2,63.1491712707182
213,2.9,Tmq,49.5,67.8141414141414
213,3,Qmk,36.8,61.6847826086956
213,3,Tmq,49.6,67.3225806451613
213,3.1,Qmk,38.2,61.8455497382199
213,3.1,Tmq,52.4,66.5419847328244
213,3.2,Qmk,40,62.13
213,3.2,Tmq,53.3,67.515947467167
213,3.3,Qmk,39.8,61.8743718592965
213,3.3,Tmq,53.2,67.9755639097744
213,3.4,Qmk,44,62.375
213,3.4,Tmq,57.1,67.4238178633975
213,3.5,Qmk,41.5,61.7855421686747
213,3.5,Tmq,56.3,67.5541740674956
213,3.6,Qmk,44,61.7590909090909
213,3.6,Tmq,58.7,67.0170357751278
213,3.7,Qmk,45.6,63.1929824561403
213,3.7,Tmq,58.9,67.46519525
213,3.8,Qmk,44.1,61.734693877551
213,3.8,Tmq,60.4,67.2201986754967
213,3.9,Qmk,46.3,62.8401727861771
213,3.9,Tmq,57.3,67.3647469458988
213,4,Qmk,48,61.8041666666667
213,4,Tmq,61.6,66.4561688311688
214,0,Qmk,12,62.8916666666667
214,0,Tmq,10.2,70.8333333333333
214,0.1,Qmk,9.1,65.0659340659341
214,0.1,Tmq,11.1,70.8918918918919
214,0.2,Qmk,13.4,63.4029850746269
214,0.2,Tmq,17.3,69.485549132948
214,0.3,Qmk,19.5,62.5846153846154
214,0.3,Tmq,25.7,69.6887159533074
214,0.4,Qmk,21.9,62.634703196347
214,0.4,Tmq,30.7,68.3550488599349
214,0.5,Qmk,28.7,62.6202090592335
214,0.5,Tmq,40.5,67.2864197530864
214,0.6,Qmk,33.5,61.7791044776119
214,0.6,Tmq,49.7,66.5492957746479
214,0.7,Qmk,42.8,61.0911214953271
214,0.7,Tmq,60.4,64.9735099337748
214,0.8,Qmk,54.2,59.6125461254613
214,0.8,Tmq,74.9,63.6675567423231
214,0.9,Qmk,62.7,59.92663477
214,0.9,Tmq,80.8,62.4034653465347
214,1,Qmk,68.9,58.4934687953556
214,1,Tmq,86.5,60.7988439306358
214,1.1,Qmk,76.4,57.5274869109948
214,1.1,Tmq,91,59.1527472527473
214,1.2,Qmk,79.5,57.0364779874214
214,1.2,Tmq,91.1,58.1108671789243
214,1.3,Qmk,86.8,55.8306451612903
214,1.3,Tmq,94.8,56.7162447257384
214,1.4,Qmk,89.3,55.2642777155655
214,1.4,Tmq,96.5,55.5668393782383
214,1.5,Qmk,92.7,52.3667745415318
214,1.5,Tmq,98.8,53.503036437247
214,1.6,Qmk,94.9,51.8746048472076
214,1.6,Tmq,98.8,52.5060728744939
214,1.7,Qmk,96.2,51.508316008316
214,1.7,Tmq,99.4,51.7977867203219
214,1.8,Qmk,96.4,50.4097510373444
214,1.8,Tmq,99.5,51.1849246231156
214,1.9,Qmk,98.6,49.4969574036511
214,1.9,Tmq,99.8,49.7965931863727
214,2,Qmk,98.8,47.8674089068826
214,2,Tmq,99.9,48.6146146146146
214,2.1,Qmk,99.4,48.1579476861167
214,2.1,Tmq,100,48.481
214,2.2,Qmk,99.7,46.8415245737212
214,2.2,Tmq,99.9,47.6936936936937
214,2.3,Qmk,99.7,46.2076228686058
214,2.3,Tmq,99.9,47.033033033033
214,2.4,Qmk,99.2,45.5967741935484
214,2.4,Tmq,100,46.697
214,2.5,Qmk,99.9,45.0690690690691
214,2.5,Tmq,99.9,46.1151151151151
214,2.6,Qmk,99.9,43.8568568568569
214,2.6,Tmq,100,45.19
214,2.7,Qmk,99.9,43.4334334334334
214,2.7,Tmq,100,44.915
214,2.8,Qmk,99.7,43.6489468405216
214,2.8,Tmq,100,44.815
214,2.9,Qmk,100,42.334
214,2.9,Tmq,100,43.938
214,3,Qmk,100,41.755
214,3,Tmq,100,43.608
214,3.1,Qmk,99.9,41.7097097097097
214,3.1,Tmq,100,43.581
214,3.2,Qmk,100,41.319
214,3.2,Tmq,100,42.884
214,3.3,Qmk,99.9,41.0580580580581
214,3.3,Tmq,100,42.809
214,3.4,Qmk,100,40.839
214,3.4,Tmq,100,42.686
214,3.5,Qmk,100,40.351
214,3.5,Tmq,100,42.373
214,3.6,Qmk,100,39.957
214,3.6,Tmq,100,42.005
214,3.7,Qmk,100,40.283
214,3.7,Tmq,100,42.3
214,3.8,Qmk,100,39.461
214,3.8,Tmq,100,41.76
214,3.9,Qmk,100,39.193
214,3.9,Tmq,100,41.699
214,4,Qmk,100,39.542
214,4,Tmq,100,41.698
