"Model","Delta","Method","Power","MDD"
101,0,"statL_quadexp",3.7,49.7702702702703
101,0.1,"statL_quadexp",6.75,51.7703703703704
101,0.2,"statL_quadexp",13.5,52.1851851851852
101,0.3,"statL_quadexp",23.95,51.8872651356994
101,0.4,"statL_quadexp",41.4,51.8091787439614
101,0.5,"statL_quadexp",57.85,50.324114088159
101,0.6,"statL_quadexp",75.25,47.3554817275747
101,0.7,"statL_quadexp",88,44.0607954545455
101,0.8,"statL_quadexp",93.9,40.7506659563133
101,0.9,"statL_quadexp",98.7,35.8257345491388
101,1,"statL_quadexp",99.65,31.9703963873557
101,1.1,"statL_quadexp",99.95,29.0165082541271
101,1.2,"statL_quadexp",100,26.4915
101,1.3,"statL_quadexp",99.95,24.6753376688344
101,1.4,"statL_quadexp",100,22.7235
101,1.5,"statL_quadexp",100,21.412
101,1.6,"statL_quadexp",100,20.1875
101,1.7,"statL_quadexp",100,19.2456228114057
101,1.8,"statL_quadexp",100,18.3365
101,1.9,"statL_quadexp",100,17.4985
101,2,"statL_quadexp",100,16.7015
102,0,"statL_quadexp",5.75,52.1304347826087
102,0.1,"statL_quadexp",8.5,55.1470588235294
102,0.2,"statL_quadexp",16.05,56.6760124610592
102,0.3,"statL_quadexp",34.8,53.5775862068966
102,0.4,"statL_quadexp",57,51.759649122807
102,0.5,"statL_quadexp",76.65,47.8571428571429
102,0.6,"statL_quadexp",90.3,44.4003322259136
102,0.7,"statL_quadexp",97.15,39.0303654143078
102,0.8,"statL_quadexp",99.4,34.4517102615694
102,0.9,"statL_quadexp",99.8,31.0445891783567
102,1,"statL_quadexp",100,27.1135
102,1.1,"statL_quadexp",100,25.464
102,1.2,"statL_quadexp",100,23.255
102,1.3,"statL_quadexp",100,21.838
102,1.4,"statL_quadexp",100,20.466
102,1.5,"statL_quadexp",100,19.459
102,1.6,"statL_quadexp",100,18.7
102,1.7,"statL_quadexp",100,18.0795
102,1.8,"statL_quadexp",100,17.4795
102,1.9,"statL_quadexp",100,17.23
102,2,"statL_quadexp",100,16.8495
103,0,"statL_quadexp",6.35,48.5984251968504
103,0.1,"statL_quadexp",5.65,54.7079646017699
103,0.2,"statL_quadexp",7.75,54.5096774193548
103,0.3,"statL_quadexp",13.4,54.5335820895522
103,0.4,"statL_quadexp",19.8,53.0909090909091
103,0.5,"statL_quadexp",29.7,53.9292929292929
103,0.6,"statL_quadexp",41.35,51.7484885126965
103,0.7,"statL_quadexp",52.3,53.1606118546845
103,0.8,"statL_quadexp",65.4,51.5160550458716
103,0.9,"statL_quadexp",76.15,49.4241628365069
103,1,"statL_quadexp",85.2,47.2676056338028
103,1.1,"statL_quadexp",91.5,44.5568306010929
103,1.2,"statL_quadexp",96.25,43.3631168831169
103,1.3,"statL_quadexp",98.35,39.9181494661922
103,1.4,"statL_quadexp",99.2,37.5604838709677
103,1.5,"statL_quadexp",99.75,35.7062656641604
103,1.6,"statL_quadexp",99.85,34.3179769654482
103,1.7,"statL_quadexp",99.95,32.7728864432216
103,1.8,"statL_quadexp",99.95,31.3141570785393
103,1.9,"statL_quadexp",100,30.2655
103,2,"statL_quadexp",100,29.391
104,0,"statL_quadexp",4.85,46.3157894736842
104,0.1,"statL_quadexp",9.55,50.2421052631579
104,0.2,"statL_quadexp",26.3,49.2495238095238
104,0.3,"statL_quadexp",52.4,47.8671128107075
104,0.4,"statL_quadexp",78.1,43.5233824471493
104,0.5,"statL_quadexp",94.35,36.7148167817313
104,0.6,"statL_quadexp",98.9,29.8466599190283
104,0.7,"statL_quadexp",99.9,23.6673346693387
104,0.8,"statL_quadexp",100,19.5077616424637
104,0.9,"statL_quadexp",100,16.4987481221833
104,1,"statL_quadexp",100,14.0985492746373
104,1.1,"statL_quadexp",100,12.464
104,1.2,"statL_quadexp",100,11.0330992978937
104,1.3,"statL_quadexp",100,9.96446446446446
104,1.4,"statL_quadexp",100,8.88938938938939
104,1.5,"statL_quadexp",100,8.22472472472472
104,1.6,"statL_quadexp",100,7.56356356356356
104,1.7,"statL_quadexp",100,7.00650650650651
104,1.8,"statL_quadexp",100,6.49324662331166
104,1.9,"statL_quadexp",100,6.16808404202101
104,2,"statL_quadexp",100,5.81281281281281
