"Model","Delta","Method","Power","MDD"
201,0,"statL_gauss",6.15,51.4715447154472
201,0.05,"statL_gauss",5.6,52.3392857142857
201,0.1,"statL_gauss",4.85,53.8350515463918
201,0.15,"statL_gauss",6.1,51.9098360655738
201,0.2,"statL_gauss",6.4,52.890625
201,0.25,"statL_gauss",5.9,53.1623931623932
201,0.3,"statL_gauss",6.65,55.593984962406
201,0.35,"statL_gauss",7.3,53.7397260273973
201,0.4,"statL_gauss",8.9,52.185393258427
201,0.45,"statL_gauss",8.95,54.7486033519553
201,0.5,"statL_gauss",10.35,54.4927536231884
201,0.55,"statL_gauss",12.95,56.1853281853282
201,0.6,"statL_gauss",13.1,58.0954198473282
201,0.65,"statL_gauss",16.25,59.3446153846154
201,0.7,"statL_gauss",19.5,58.0666666666667
201,0.75,"statL_gauss",22.2,58.1306306306306
201,0.8,"statL_gauss",25.1,59.4741035856574
201,0.85,"statL_gauss",31.1,61.2122186495177
201,0.9,"statL_gauss",42.55,59.9118683901293
202,0,"statL_gauss",5.7,50.1052631578947
202,0.05,"statL_gauss",4.75,51.1684210526316
202,0.1,"statL_gauss",6.05,51.7107438016529
202,0.15,"statL_gauss",6.35,51.0944881889764
202,0.2,"statL_gauss",5.8,52.5172413793103
202,0.25,"statL_gauss",6.3,55.6031746031746
202,0.3,"statL_gauss",6.55,54.2595419847328
202,0.35,"statL_gauss",6.15,54.0569105691057
202,0.4,"statL_gauss",7.65,55.2287581699346
202,0.45,"statL_gauss",8.7,53.6149425287356
202,0.5,"statL_gauss",9.4,53.7765957446809
202,0.55,"statL_gauss",9.5,53.1263157894737
202,0.6,"statL_gauss",11.4,55.2543859649123
202,0.65,"statL_gauss",13.65,56.5641025641026
202,0.7,"statL_gauss",15.95,55.9122257053292
202,0.75,"statL_gauss",18.05,57.9473684210526
202,0.8,"statL_gauss",23.3,57.3412017167382
202,0.85,"statL_gauss",24.1,58.2863070539419
202,0.9,"statL_gauss",29.7,59.3619528619529
203,0,"statL_gauss",4.8,50.5208333333333
203,0.05,"statL_gauss",5.4,50.6481481481481
203,0.1,"statL_gauss",5.25,52.7428571428571
203,0.15,"statL_gauss",5.7,47.9210526315789
203,0.2,"statL_gauss",5.6,51.6785714285714
203,0.25,"statL_gauss",5.7,51.6754385964912
203,0.3,"statL_gauss",5.55,45.6756756756757
203,0.35,"statL_gauss",6.45,51.7984496124031
203,0.4,"statL_gauss",6.5,52.5307692307692
203,0.45,"statL_gauss",6.75,49.1407407407407
203,0.5,"statL_gauss",7,48.1214285714286
203,0.55,"statL_gauss",7.35,51.0476190476191
203,0.6,"statL_gauss",7.45,51.6040268456376
203,0.65,"statL_gauss",8.85,46.9039548022599
203,0.7,"statL_gauss",8.75,51.9085714285714
203,0.75,"statL_gauss",7.9,51.4113924050633
203,0.8,"statL_gauss",10.45,52.933014354067
203,0.85,"statL_gauss",10.95,52.4748858447489
203,0.9,"statL_gauss",12.4,52.8911290322581
