"m","L","N1","N2","N3","N4","N5","N6","N7","N8"
100,1,4,4,5.3,9.7,10.5,5.5,11.8,3.7
100,2,5.8,3.5,6,7.6,11.7,3.7,11.9,2.8
100,3,5.9,5.7,7.5,7.7,12.5,7.9,14.7,3.3
200,1,3.6,5,5.8,7.2,7.1,7.8,12.2,5.4
200,2,5.7,4.1,6.9,8.5,9.5,5.6,8.4,4.7
200,3,6.4,4.3,6,8.4,8.8,8.1,11.8,5.7
