"m","L","N1","N2","N3","N4","N5","N6","N7","N8"
100,1,5.2,3.6,6.8,6.8,9.9,6.9,11,2.2
100,2,5.4,6.1,7,9.1,10.6,7.7,13,2.5
100,3,5.7,6.1,8,10,11.8,6.5,9.6,3.8
200,1,5.4,5.1,5.5,7.1,9.8,7.9,10.1,3.7
200,2,5.6,6.3,4.3,7,8.6,6.3,12.6,3.9
200,3,4.3,5.9,6.8,6.2,8.1,8.1,12.5,4.8
