"Stat","m","L","N1","N2","N3","N4","N5","N6","N7","N8"
"Q",100,1,8.4,9.7,5.9,7.5,11.5,7.9,11.7,10.5
"Q",100,2,6.6,4.6,8.4,9.8,7.9,6.7,11.8,12.3
"Q",100,3,7.4,8,6.5,11,9.2,8.3,12.6,14.1
"T",100,1,6.3,6.9,7.1,7.3,11.3,6.2,12.4,11
"T",100,2,5.3,5.4,7.1,7.8,9.4,6,12,10.5
"T",100,3,6.2,5.5,6.9,9.6,12.1,6.1,12,12.6
